axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
-69.5,-24.0,"2000-01-15T00:00:00",10.0,-0.6849207282066345,0.6336731314659119,6.295304298400879
-69.5,-24.0,"2000-02-15T00:00:00",10.0,0.171805277466774,0.8353238701820374,6.9147539138793945
-69.5,-24.0,"2000-03-16T00:00:00",10.0,1.7178419828414917,2.017138957977295,7.975427627563477
-69.5,-24.0,"2000-04-15T00:00:00",10.0,1.719325065612793,2.8033554553985596,9.291152954101562
-69.5,-24.0,"2000-05-15T00:00:00",10.0,-5.815104007720947,4.633347988128662,15.164219856262207
-69.5,-24.0,"2000-06-15T00:00:00",10.0,,,
-69.5,-24.0,"2000-07-15T00:00:00",10.0,,,
-69.5,-24.0,"2000-08-15T00:00:00",10.0,,,
-69.5,-24.0,"2000-09-15T00:00:00",10.0,,,
-69.5,-24.0,"2000-10-15T00:00:00",10.0,,,
-69.5,-24.0,"2000-11-15T00:00:00",10.0,,,
-69.5,-24.0,"2000-12-15T00:00:00",10.0,1.0474644899368286,0.16146022081375122,6.840935707092285
