axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
-75.0,-33.75,"2000-01-15T00:00:00",10.0,-0.23724177479743958,0.14373153448104858,7.515405178070068
-75.0,-33.75,"2000-02-15T00:00:00",10.0,-2.3565168380737305,-1.322460651397705,7.50593900680542
-75.0,-33.75,"2000-03-16T00:00:00",10.0,-0.6314553022384644,0.2780925929546356,7.055869102478027
-75.0,-33.75,"2000-04-15T00:00:00",10.0,,,
-75.0,-33.75,"2000-05-15T00:00:00",10.0,,,
-75.0,-33.75,"2000-06-15T00:00:00",10.0,,,
-75.0,-33.75,"2000-07-15T00:00:00",10.0,,,
-75.0,-33.75,"2000-08-15T00:00:00",10.0,,,
-75.0,-33.75,"2000-09-15T00:00:00",10.0,,,
-75.0,-33.75,"2000-10-15T00:00:00",10.0,,,
-75.0,-33.75,"2000-11-15T00:00:00",10.0,,,
-75.0,-33.75,"2000-12-15T00:00:00",10.0,,,
