axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
-58.5,-47.0,"2000-01-15T00:00:00",10.0,3.60060977935791,-1.1823986768722534,7.885891437530518
-58.5,-47.0,"2000-02-15T00:00:00",10.0,4.890324115753174,-0.6537566184997559,8.830778121948242
-58.5,-47.0,"2000-03-16T00:00:00",10.0,4.349444389343262,-0.23609043657779694,8.99808406829834
-58.5,-47.0,"2000-04-15T00:00:00",10.0,4.55997896194458,0.3360540568828583,9.2891263961792
-58.5,-47.0,"2000-05-15T00:00:00",10.0,4.216421127319336,1.0917788743972778,9.607848167419434
-58.5,-47.0,"2000-06-15T00:00:00",10.0,3.467712163925171,1.6580150127410889,10.628256797790527
-58.5,-47.0,"2000-07-15T00:00:00",10.0,3.2781829833984375,1.223967432975769,10.912261962890625
-58.5,-47.0,"2000-08-15T00:00:00",10.0,6.086125373840332,-0.2286369502544403,10.782014846801758
-58.5,-47.0,"2000-09-15T00:00:00",10.0,5.162569522857666,-0.17278964817523956,9.886872291564941
-58.5,-47.0,"2000-10-15T00:00:00",10.0,5.518677234649658,-1.4210240840911865,9.606081008911133
-58.5,-47.0,"2000-11-15T00:00:00",10.0,4.856637954711914,-1.7163411378860474,9.329726219177246
-58.5,-47.0,"2000-12-15T00:00:00",10.0,3.4164886474609375,-0.562892735004425,8.162056922912598
