axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
68.0,-20.24999999999997,"2000-01-15T00:00:00",10.0,-1.1018873453140259,-4.440951824188232,11.993518829345703
68.0,-20.24999999999997,"2000-02-15T00:00:00",10.0,-2.1875038146972656,-5.061214923858643,11.984085083007812
68.0,-20.24999999999997,"2000-03-16T00:00:00",10.0,-2.1983630657196045,-4.366818904876709,11.53339958190918
68.0,-20.24999999999997,"2000-04-15T00:00:00",10.0,-2.857980489730835,-3.6154870986938477,9.218791007995605
68.0,-20.24999999999997,"2000-05-15T00:00:00",10.0,-2.318331003189087,-2.1289234161376953,7.71192741394043
68.0,-20.24999999999997,"2000-06-15T00:00:00",10.0,-1.2746762037277222,-1.401273488998413,6.073107719421387
68.0,-20.24999999999997,"2000-07-15T00:00:00",10.0,-0.8607236742973328,-1.2666970491409302,5.4362335205078125
68.0,-20.24999999999997,"2000-08-15T00:00:00",10.0,-1.079639196395874,-1.48334801197052,6.033506393432617
68.0,-20.24999999999997,"2000-09-15T00:00:00",10.0,-1.7328155040740967,-3.0662477016448975,8.579659461975098
68.0,-20.24999999999997,"2000-10-15T00:00:00",10.0,-3.0296363830566406,-6.596147537231445,10.902151107788086
68.0,-20.24999999999997,"2000-11-15T00:00:00",10.0,-2.2053186893463135,-4.887052536010742,11.031536102294922
68.0,-20.24999999999997,"2000-12-15T00:00:00",10.0,-2.4486353397369385,-4.516951084136963,11.151471138000488
