axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
28.75,-30.75,"2000-01-15T00:00:00",10.0,-2.5028417110443115,-1.1151868104934692,7.409072399139404
28.75,-30.75,"2000-02-15T00:00:00",10.0,-3.3534774780273438,-1.518337368965149,8.105664253234863
28.75,-30.75,"2000-03-16T00:00:00",10.0,-0.6369243860244751,-1.2680636644363403,7.533850193023682
28.75,-30.75,"2000-04-15T00:00:00",10.0,-1.8050777912139893,-1.603227138519287,6.408602714538574
28.75,-30.75,"2000-05-15T00:00:00",10.0,-2.215561866760254,-1.6429003477096558,5.880095958709717
28.75,-30.75,"2000-06-15T00:00:00",10.0,-2.625028133392334,-2.0708203315734863,5.291021823883057
28.75,-30.75,"2000-07-15T00:00:00",10.0,-4.431726932525635,-3.546572685241699,6.187167644500732
28.75,-30.75,"2000-08-15T00:00:00",10.0,-3.998793125152588,-2.748351812362671,5.49647331237793
28.75,-30.75,"2000-09-15T00:00:00",10.0,-2.385298252105713,-0.42099398374557495,5.366148948669434
28.75,-30.75,"2000-10-15T00:00:00",10.0,-1.947820782661438,-0.4961543381214142,6.285403728485107
28.75,-30.75,"2000-11-15T00:00:00",10.0,-3.837618350982666,-0.8085601925849915,7.650184154510498
28.75,-30.75,"2000-12-15T00:00:00",10.0,-0.8275853991508484,-0.3702947795391083,8.510252952575684
