axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
-28.0,-16.24999999999997,"2000-01-15T00:00:00",10.0,-1.8419818878173828,-1.4381839036941528,5.635833263397217
-28.0,-16.24999999999997,"2000-02-15T00:00:00",10.0,-2.7088592052459717,-0.5995032787322998,5.8963704109191895
-28.0,-16.24999999999997,"2000-03-16T00:00:00",10.0,-2.4393045902252197,-0.854384183883667,6.24041748046875
-28.0,-16.24999999999997,"2000-04-15T00:00:00",10.0,-1.1092631816864014,-0.39807555079460144,6.7981858253479
-28.0,-16.24999999999997,"2000-05-15T00:00:00",10.0,-0.4188939034938812,-1.535995364189148,7.7072978019714355
-28.0,-16.24999999999997,"2000-06-15T00:00:00",10.0,1.2855019569396973,-0.8782102465629578,7.274773120880127
-28.0,-16.24999999999997,"2000-07-15T00:00:00",10.0,-0.16025613248348236,-0.31305310130119324,7.327676773071289
-28.0,-16.24999999999997,"2000-08-15T00:00:00",10.0,0.006026544142514467,0.14550280570983887,7.19639253616333
-28.0,-16.24999999999997,"2000-09-15T00:00:00",10.0,-0.8744347095489502,-0.24105757474899292,7.192172050476074
-28.0,-16.24999999999997,"2000-10-15T00:00:00",10.0,-1.4231380224227905,-0.9733191132545471,6.630868911743164
-28.0,-16.24999999999997,"2000-11-15T00:00:00",10.0,-1.5008225440979004,-1.7684022188186646,5.895158290863037
-28.0,-16.24999999999997,"2000-12-15T00:00:00",10.0,-1.2418450117111206,-1.9593234062194824,5.844808578491211
