axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
8.75,-34.50000000000003,"2000-01-15T00:00:00",10.0,-6.782150745391846,-4.815676689147949,8.549864768981934
8.75,-34.50000000000003,"2000-02-15T00:00:00",10.0,-6.0949482917785645,-5.195785045623779,8.155529022216797
8.75,-34.50000000000003,"2000-03-16T00:00:00",10.0,-5.551806449890137,-5.259459972381592,7.783738613128662
8.75,-34.50000000000003,"2000-04-15T00:00:00",10.0,-5.531382083892822,-5.359936714172363,7.851751804351807
8.75,-34.50000000000003,"2000-05-15T00:00:00",10.0,-5.6211042404174805,-5.059251308441162,7.703605651855469
8.75,-34.50000000000003,"2000-06-15T00:00:00",10.0,-5.065639019012451,-4.315571308135986,6.939676284790039
8.75,-34.50000000000003,"2000-07-15T00:00:00",10.0,-2.1088201999664307,-1.7682538032531738,5.709887504577637
8.75,-34.50000000000003,"2000-08-15T00:00:00",10.0,1.072617769241333,0.1328490823507309,6.104103088378906
8.75,-34.50000000000003,"2000-09-15T00:00:00",10.0,-0.709790825843811,-0.49756672978401184,5.64616584777832
8.75,-34.50000000000003,"2000-10-15T00:00:00",10.0,-4.916361331939697,-2.0171642303466797,6.776735305786133
8.75,-34.50000000000003,"2000-11-15T00:00:00",10.0,-6.796785354614258,-2.6032216548919678,7.851765155792236
8.75,-34.50000000000003,"2000-12-15T00:00:00",10.0,-6.954093933105469,-3.7679967880249023,8.34720230102539
