axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
-14.0,-21.74999999999997,"2000-01-15T00:00:00",10.0,-6.488502502441406,1.6494029760360718,6.8466691970825195
-14.0,-21.74999999999997,"2000-02-15T00:00:00",10.0,-6.2519145011901855,1.8508503437042236,6.655266284942627
-14.0,-21.74999999999997,"2000-03-16T00:00:00",10.0,-6.250553607940674,1.9898170232772827,6.705021381378174
-14.0,-21.74999999999997,"2000-04-15T00:00:00",10.0,-6.574914932250977,1.9136137962341309,7.017032146453857
-14.0,-21.74999999999997,"2000-05-15T00:00:00",10.0,-6.674511909484863,1.6727501153945923,7.204938888549805
-14.0,-21.74999999999997,"2000-06-15T00:00:00",10.0,-7.44683837890625,2.8567025661468506,8.182915687561035
-14.0,-21.74999999999997,"2000-07-15T00:00:00",10.0,-7.808211803436279,2.8050708770751953,8.481348991394043
-14.0,-21.74999999999997,"2000-08-15T00:00:00",10.0,-7.962010383605957,3.181399345397949,8.764461517333984
-14.0,-21.74999999999997,"2000-09-15T00:00:00",10.0,-7.071936130523682,2.6046640872955322,7.753413677215576
-14.0,-21.74999999999997,"2000-10-15T00:00:00",10.0,-6.880218505859375,1.8375999927520752,7.345562934875488
-14.0,-21.74999999999997,"2000-11-15T00:00:00",10.0,-7.037460803985596,1.4009419679641724,7.353853225708008
-14.0,-21.74999999999997,"2000-12-15T00:00:00",10.0,-6.549563407897949,1.4028618335723877,6.891113758087158
