axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
15.0,-59.249999999999986,"2000-01-15T00:00:00",10.0,-7.6906208992004395,-2.8668429851531982,8.55496597290039
15.0,-59.249999999999986,"2000-02-15T00:00:00",10.0,-7.3946309089660645,-2.5409562587738037,8.340141296386719
15.0,-59.249999999999986,"2000-03-16T00:00:00",10.0,-7.075872421264648,-2.0613489151000977,7.824777603149414
15.0,-59.249999999999986,"2000-04-15T00:00:00",10.0,-7.014840602874756,-1.239632248878479,7.621679782867432
15.0,-59.249999999999986,"2000-05-15T00:00:00",10.0,-7.232776165008545,-0.8140869140625,7.590039253234863
15.0,-59.249999999999986,"2000-06-15T00:00:00",10.0,-8.307229995727539,-1.2390869855880737,8.596389770507812
15.0,-59.249999999999986,"2000-07-15T00:00:00",10.0,-7.96005392074585,-1.5169039964675903,8.33816146850586
15.0,-59.249999999999986,"2000-08-15T00:00:00",10.0,-6.631669998168945,-1.124292016029358,7.338331699371338
15.0,-59.249999999999986,"2000-09-15T00:00:00",10.0,-5.474522590637207,-0.22827941179275513,6.698896408081055
15.0,-59.249999999999986,"2000-10-15T00:00:00",10.0,-6.132660388946533,-0.1685314178466797,6.826951503753662
15.0,-59.249999999999986,"2000-11-15T00:00:00",10.0,-6.192670822143555,-1.210153579711914,7.302885055541992
15.0,-59.249999999999986,"2000-12-15T00:00:00",10.0,-7.240776538848877,-2.5782928466796875,8.094156265258789
