axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
-25.0,-7.25,"2000-01-15T00:00:00",10.0,-4.218947887420654,1.4320796728134155,5.475298881530762
-25.0,-7.25,"2000-02-15T00:00:00",10.0,-4.511847972869873,1.8331756591796875,5.8657307624816895
-25.0,-7.25,"2000-03-16T00:00:00",10.0,-4.569845676422119,1.1515740156173706,5.987849235534668
-25.0,-7.25,"2000-04-15T00:00:00",10.0,-3.2537882328033447,0.38069602847099304,5.977231979370117
-25.0,-7.25,"2000-05-15T00:00:00",10.0,-2.5577120780944824,0.5286899209022522,6.0569376945495605
-25.0,-7.25,"2000-06-15T00:00:00",10.0,-2.045454978942871,0.8219819664955139,6.100091457366943
-25.0,-7.25,"2000-07-15T00:00:00",10.0,-3.423823356628418,1.5007189512252808,7.006224155426025
-25.0,-7.25,"2000-08-15T00:00:00",10.0,-2.7386064529418945,1.9192794561386108,6.730678081512451
-25.0,-7.25,"2000-09-15T00:00:00",10.0,-3.3280184268951416,1.4007500410079956,6.4604082107543945
-25.0,-7.25,"2000-10-15T00:00:00",10.0,-3.6901934146881104,1.2268588542938232,6.040527820587158
-25.0,-7.25,"2000-11-15T00:00:00",10.0,-4.148665904998779,1.288840413093567,5.5670084953308105
-25.0,-7.25,"2000-12-15T00:00:00",10.0,-3.84458065032959,0.8881903290748596,5.328538417816162
