axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
-14.0,-19.5,"2000-01-15T00:00:00",10.0,-6.3228607177734375,1.972947359085083,6.762664794921875
-14.0,-19.5,"2000-02-15T00:00:00",10.0,-6.110265731811523,2.194117546081543,6.622587203979492
-14.0,-19.5,"2000-03-16T00:00:00",10.0,-6.20167875289917,2.3296139240264893,6.760239124298096
-14.0,-19.5,"2000-04-15T00:00:00",10.0,-6.576771259307861,2.1924943923950195,7.086914539337158
-14.0,-19.5,"2000-05-15T00:00:00",10.0,-6.7917022705078125,1.9001857042312622,7.281402111053467
-14.0,-19.5,"2000-06-15T00:00:00",10.0,-7.351423740386963,2.9647722244262695,8.10568618774414
-14.0,-19.5,"2000-07-15T00:00:00",10.0,-7.744747638702393,2.9527368545532227,8.470565795898438
-14.0,-19.5,"2000-08-15T00:00:00",10.0,-7.861417770385742,3.3054258823394775,8.701116561889648
-14.0,-19.5,"2000-09-15T00:00:00",10.0,-7.029507637023926,2.8753767013549805,7.804378032684326
-14.0,-19.5,"2000-10-15T00:00:00",10.0,-6.890051364898682,2.150855302810669,7.421016216278076
-14.0,-19.5,"2000-11-15T00:00:00",10.0,-6.978372573852539,1.842081069946289,7.374258041381836
-14.0,-19.5,"2000-12-15T00:00:00",10.0,-6.475332260131836,1.841654658317566,6.895625591278076
