axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
57.75,-38.00000000000003,"2000-01-15T00:00:00",10.0,3.9056203365325928,1.4342044591903687,13.418354034423828
57.75,-38.00000000000003,"2000-02-15T00:00:00",10.0,6.7732930183410645,2.1583704948425293,13.523906707763672
57.75,-38.00000000000003,"2000-03-16T00:00:00",10.0,3.8930046558380127,-0.12580901384353638,12.286604881286621
57.75,-38.00000000000003,"2000-04-15T00:00:00",10.0,0.9257826209068298,0.12410169094800949,9.874661445617676
57.75,-38.00000000000003,"2000-05-15T00:00:00",10.0,1.161527156829834,0.01891922950744629,8.483438491821289
57.75,-38.00000000000003,"2000-06-15T00:00:00",10.0,0.46836918592453003,-0.02062719501554966,7.6961164474487305
57.75,-38.00000000000003,"2000-07-15T00:00:00",10.0,2.7059404850006104,0.8840196132659912,7.2089314460754395
57.75,-38.00000000000003,"2000-08-15T00:00:00",10.0,3.1087775230407715,0.994485080242157,7.5893168449401855
57.75,-38.00000000000003,"2000-09-15T00:00:00",10.0,2.7759954929351807,0.6167387366294861,9.49438190460205
57.75,-38.00000000000003,"2000-10-15T00:00:00",10.0,3.5703818798065186,-1.3825511932373047,10.464332580566406
57.75,-38.00000000000003,"2000-11-15T00:00:00",10.0,4.148207187652588,0.21443995833396912,11.274311065673828
57.75,-38.00000000000003,"2000-12-15T00:00:00",10.0,2.939588785171509,0.8056250214576721,12.311348915100098
